18626,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,matching,553,"And on my eighteenth birthday, we got __ tattoos",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,10360,17200,6840,0,
18754,399,8UVNT4wvIGY,1798,gotye featuring kimbra,414,somebody that i used to know,catch,19836,And I wouldn't __ you hung up on somebody that you used to know,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,177780,182500,4720,0,
18755,406,dZX6Q-Bj_xg,1805,Passion Pit,421,take a walk,watch,20124,"I __ my little children, play some board game in the kitchen",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,137170,143180,6010,0,
18756,406,dZX6Q-Bj_xg,1805,Passion Pit,421,take a walk,kitchen,20124,"I watch my little children, play some board game in the __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,137170,143180,6010,0,
18757,407,DiEwJTOderQ,1805,Passion Pit,422,carried away,watching,20211,Cause no one's really __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,149800,152040,2240,0,
18758,423,c-jKfLXYQqw,1839,Cults,439,high road,watching,20560,No one really knows who's __ over here,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,132240,140140,7900,0,
18759,437,fV4DiAyExN0,2151,Hoobastank,454,the reason,catches,21024,And be the one who __ all your tears,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,95100,101750,6650,0,
18760,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,Watch,39459,__ it burn,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,123320,124400,1080,0,
18761,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39480,Take that money and __ it burn,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,182730,185000,2270,0,
18762,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39483,Take that money and __ it burn,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,187250,189250,2000,0,
18763,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39486,Take that money and __ it burn,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,191000,193020,2020,0,
18764,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39489,Take that money and __ it burn,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,194930,196780,1850,0,
18765,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39505,(Take that money and __ it burn),Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,237600,239350,1750,0,
18766,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39508,(Take that money and __ it burn),Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,241110,243120,2010,0,
18767,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39511,(Take that money and __ it burn),Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,245120,247130,2010,0,
18768,23,hT_nvWreIhg,9,OneRepublic,748,counting stars,watch,39514,(Take that money and __ it burn),Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,248880,251130,2250,0,
18769,465,Y66j_BUCBMY,2402,american authors,750,best day of my life,stretched,39600,I __ my hands out to the sky,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,22180,24330,2150,0,
18770,471,O-zpOMYRi0w,2406,iggy azalea,755,fancy,clutch,39915,Look at that I bet you wishing you could __ that,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,141140,143520,2380,1,
18771,501,93ASUImTedo,2415,Disclosure,766,latch,clutch,40583,"Feel so enamored, hold me tight within your __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,107740,116910,9170,0,
18772,504,o4Yzj-m_SBk,2418,Miranda Lambert,769,somethin' bad,catch,40760,"If the cops __ up, they're gonna call it kidnapping",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,105910,108500,2590,0,
18773,510,BBAtAM7vtgc,2426,Kanye West,777,bound 2,watch,41326,"Jerome's in the house, __ your mouth",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,208980,212270,3290,1,
18774,510,BBAtAM7vtgc,2426,Kanye West,777,bound 2,watch,41327,"Jerome's in the house, __ your mouth",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,212270,215440,3170,1,
18775,516,EpbjEttizy8,2433,David Guetta,783,lovers on the sun,catch,41697,Until our hearts __ fire,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,9660,14850,5190,0,
18776,516,EpbjEttizy8,2433,David Guetta,783,lovers on the sun,catch,41726,Until our hearts __ fire,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,184460,189610,5150,0,
18777,526,bcWWArLFgys,2442,one direction,795,midnight memories,kitchen,42416,A big house party with a crowded __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,15240,21250,6010,0,
18778,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42657,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,3890,5220,1330,0,
18779,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42661,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,10270,12040,1770,0,
18780,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42690,__ it fall off from the sky,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,62200,63270,1070,0,
18781,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42693,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,66690,68310,1620,0,
18782,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42697,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,74630,75360,730,0,
18783,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42729,__ it fall off from the sky,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,132180,133070,890,0,
18784,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42732,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,135210,138110,2900,0,
18785,530,ehcVomMexkY,2447,rihanna,799,pour it up,Watch,42736,__ it all fall out,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,143020,144900,1880,0,
18786,533,BiOmXeKyrxo,2451,Maejor Ali,803,lolly,watching,43058,Why you on the table? Cause you know I'm __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,17140,20140,3000,1,
18787,533,BiOmXeKyrxo,2451,Maejor Ali,803,lolly,watching,43095,Got your girlfriend at my crib __ Netflix,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,104950,107920,2970,1,
18788,534,5WybiA263bw,2452,U2,804,sweetest thing,catch,43155,She won't __ me or break my fall,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,37020,40440,3420,0,
18789,543,7-7knsP2n5w,2435,Shakira,813,dare (la la la),watching,43712,With everyone __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,71800,75720,3920,0,
18790,543,7-7knsP2n5w,2435,Shakira,813,dare (la la la),watching,43730,With everyone __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,124810,128490,3680,0,
18791,546,iX-QaNzd-0Y,2457,Milky Chance,816,stolen dance,fetch,43827,We need to __ back the time,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,49980,54170,4190,0,
18792,547,0OWj0CiM8WU,2458,One Republic,817,love runs out,match,43885,"I'll be your light, your __, your burning sun",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,14680,18860,4180,0,
18793,547,0OWj0CiM8WU,2458,One Republic,817,love runs out,match,43927,"I'll be our light, your __, your burning sun",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,158810,162730,3920,0,
18794,547,0OWj0CiM8WU,2458,One Republic,817,love runs out,match,43936,"I'll be your light, your __, your burning sun",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,193030,197000,3970,0,
18795,551,yVdnvQsKyUs,2462,hunter hayes,821,everybody's got somebody but me,Watching,44215,__ lovers being lovers in the corner booth,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,104410,107880,3470,0,
