Ahha3Cqe_fk,Katy Perry,The One That Got Away,matching,"And on my eighteenth birthday, we got __ tattoos",10360,17200,6840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,Watch,__ it burn,123320,124400,1080,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,Take that money and __ it burn,182730,185000,2270,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,Take that money and __ it burn,187250,189250,2000,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,Take that money and __ it burn,191000,193020,2020,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,Take that money and __ it burn,194930,196780,1850,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,(Take that money and __ it burn),237600,239350,1750,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,(Take that money and __ it burn),241110,243120,2010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,(Take that money and __ it burn),245120,247130,2010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hT_nvWreIhg,Onerepublic,Counting Stars,watch,(Take that money and __ it burn),248880,251130,2250,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y66j_BUCBMY,American Authors,Best Day Of My Life,stretched,I __ my hands out to the sky,22180,24330,2150,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
O-zpOMYRi0w,Iggy Azalea,Fancy,clutch,Look at that I bet you wishing you could __ that,141140,143520,2380,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
93ASUImTedo,Disclosure,Latch,clutch,"Feel so enamored, hold me tight within your __",107740,116910,9170,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o4Yzj-m_SBk,Miranda Lambert,Somethin' Bad,catch,"If the cops __ up, they're gonna call it kidnapping",105910,108500,2590,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
BBAtAM7vtgc,Kanye West,Bound 2,watch,"Jerome's in the house, __ your mouth",208980,212270,3290,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
BBAtAM7vtgc,Kanye West,Bound 2,watch,"Jerome's in the house, __ your mouth",212270,215440,3170,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
EpbjEttizy8,David Guetta,Lovers On The Sun,catch,Until our hearts __ fire,9660,14850,5190,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
EpbjEttizy8,David Guetta,Lovers On The Sun,catch,Until our hearts __ fire,184460,189610,5150,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bcWWArLFgys,One Direction,Midnight Memories,kitchen,A big house party with a crowded __,15240,21250,6010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,3890,5220,1330,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,10270,12040,1770,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it fall off from the sky,62200,63270,1070,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,66690,68310,1620,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,74630,75360,730,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it fall off from the sky,132180,133070,890,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,135210,138110,2900,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ehcVomMexkY,Rihanna,Pour It Up,Watch,__ it all fall out,143020,144900,1880,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
BiOmXeKyrxo,Maejor Ali,Lolly,watching,Why you on the table? Cause you know I'm __,17140,20140,3000,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
BiOmXeKyrxo,Maejor Ali,Lolly,watching,Got your girlfriend at my crib __ Netflix,104950,107920,2970,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5WybiA263bw,U2,Sweetest Thing,catch,She won't __ me or break my fall,37020,40440,3420,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
7-7knsP2n5w,Shakira,Dare La La La,watching,With everyone __,71800,75720,3920,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
7-7knsP2n5w,Shakira,Dare La La La,watching,With everyone __,124810,128490,3680,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
iX-QaNzd-0Y,Milky Chance,Stolen Dance,fetch,We need to __ back the time,49980,54170,4190,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0OWj0CiM8WU,One Republic,Love Runs Out,match,"I'll be your light, your __, your burning sun",14680,18860,4180,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0OWj0CiM8WU,One Republic,Love Runs Out,match,"I'll be our light, your __, your burning sun",158810,162730,3920,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0OWj0CiM8WU,One Republic,Love Runs Out,match,"I'll be your light, your __, your burning sun",193030,197000,3970,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
yVdnvQsKyUs,Hunter Hayes,Everybody'S Got Somebody But Me,Watching,__ lovers being lovers in the corner booth,104410,107880,3470,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nP3ctBs3510,Lady Gaga,Venus,touch,"When you __ me, I die",71710,73530,1820,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nP3ctBs3510,Lady Gaga,Venus,touch,"When you __ me, I die",135130,136960,1830,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nP3ctBs3510,Lady Gaga,Venus,touch,"When you __ me, I die",198280,200420,2140,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",58050,61420,3370,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",58050,61420,3370,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",64760,68410,3650,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",64760,68410,3650,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch",71580,74930,3350,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __",71580,74930,3350,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch",78530,81660,3130,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __",78530,81660,3130,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",126420,129979,3559,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",126420,129979,3559,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",133220,136730,3510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",133220,136730,3510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch",140090,143240,3150,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __",140090,143240,3150,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch",147020,150100,3080,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __",147020,150100,3080,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Ooh __, touch ooh",150100,154480,4380,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Ooh touch, __ ooh",150100,154480,4380,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,Touch,"__, touch now ooh ooh ooh ooh",154480,162930,8450,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Touch, __ now ooh ooh ooh ooh",154480,162930,8450,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",181110,184830,3720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",181110,184830,3720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",188170,191630,3460,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",188170,191630,3460,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch (Make it real loud)",195060,198570,3510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __ (Make it real loud)",195060,198570,3510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em __, touch",201950,205280,3330,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pco91kroVgQ,Lady Gaga,Applause,touch,"Put your hands up, make 'em touch, __",201950,205280,3330,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
My2FRPA3Gf8,Miley Cyrus,Wrecking Ball,crouching,Left me __ in a blaze and fall,117200,121380,4180,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
My2FRPA3Gf8,Miley Cyrus,Wrecking Ball,crouching,Left me __ in a blaze and fall,195160,199180,4020,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
LrUvu1mlWco,Miley Cyrus,We Can'T Stop,much,'Cause we came to have so __ fun now,29540,32610,3070,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
M11SvDtPBhA,Miley Cyrus,Party In The U.S.A.,much,"Too __ pressure and I'm nervous,",32020,33810,1790,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
M11SvDtPBhA,Miley Cyrus,Party In The U.S.A.,much,Too __ pressure and I'm nervous,92120,93850,1730,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Py_-3di1yx0,Lana Del Rey,Ride,much,"Too __ I strive, I just ride",234450,240250,5800,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0NKUpo_xKyQ,Ellie Goulding,Lights,Touch,__ my own skin,79120,82550,3430,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
qrOeGCJdZe4,Onerepublic,All The Right Moves,each,And the grass is getting greener __ day,41640,44600,2960,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
e-fA-gBCkj0,Bruno Mars,Locked Out Of Heaven,much,Never had __ faith in love or miracles (miracles) uh!,16450,23000,6550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ekzHIouo8Q4,Bruno Mars,When I Was Your Man,much,"Oh, I know I'm probably __ too late",159000,162340,3340,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ekzHIouo8Q4,Bruno Mars,When I Was Your Man,much,'Cause I remember how __ you loved to dance,188000,192060,4060,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WA4iX5D9Z64,Taylor Swift,We Are Never Ever Getting Back Together,each,Cause like we hadn't seen __ other in a month,14010,16750,2740,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WA4iX5D9Z64,Taylor Swift,We Are Never Ever Getting Back Together,much,With some indie record that's __ cooler than mine,78290,83900,5610,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OpQFFLBMEPI,P!Nk,Just Give Me A Reason,touch,And with every __ you fixed them,24610,29740,5130,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
zsmUOdmm02A,P!Nk,True Love,much,So __ I think it must be,47860,50060,2200,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
zsmUOdmm02A,P!Nk,True Love,much,So __ I think it must be,117910,120120,2210,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
g1j1qwQQ8-Q,James Blunt,Bonfire Heart,much,Need that __ just someone that starts,56750,63680,6930,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
g1j1qwQQ8-Q,James Blunt,Bonfire Heart,much,Need that __ just someone that starts,122170,128710,6540,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
g1j1qwQQ8-Q,James Blunt,Bonfire Heart,much,Need that __ just someone that starts,156590,163360,6770,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
g1j1qwQQ8-Q,James Blunt,Bonfire Heart,much,Need that __ just someone that starts,188780,195960,7180,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
g1j1qwQQ8-Q,James Blunt,Bonfire Heart,much,Need that __,205490,207740,2250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
n-D1EB74Ckg,Selena Gomez,Come And Get It,much,"I love you __, too much to hide you, this love ain't finished yet.",108910,117860,8950,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
n-D1EB74Ckg,Selena Gomez,Come And Get It,much,"I love you much, too __ to hide you, this love ain't finished yet.",108910,117860,8950,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rYEDA3JcQqw,Adele,Rolling In The Deep,Reaching,__ a fever pitch and it's bringing me out the dark,9400,13370,3970,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rYEDA3JcQqw,Adele,Rolling In The Deep,Reaching,__ a fever pitch and it's bringing me out the dark,36790,42370,5580,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Ob7vObnFUJc,Beyoncй,Love On Top,touch,Every time you __ me I just melt away,37440,41050,3610,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
mHxOltrMfX8,Demi Lovato,Turn The Night Up,touch,"I just wanna __ you, girl just let me touch",104690,108480,3790,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
mHxOltrMfX8,Demi Lovato,Turn The Night Up,touch,"I just wanna touch you, girl just let me __",104690,108480,3790,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
koJlIGDImiU,Demi Lovato,Hero,touched,Would you tremble if I __ your lips?,37780,42930,5150,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
MU8B4XDI3Uw,Maroon 5,Love Somebody,touch,I really wanna __ somebody,56220,60170,3950,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
MU8B4XDI3Uw,Maroon 5,Love Somebody,such,You're __ a hard act for me to follow,72790,80570,7780,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
MU8B4XDI3Uw,Maroon 5,Love Somebody,touch,I really wanna __ somebody,120150,124200,4050,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
MU8B4XDI3Uw,Maroon 5,Love Somebody,touch,I really wanna __ somebody,188190,192110,3920,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,each,You and I go hard at __ other like we're going to war,8910,14030,5120,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nRpjsFcb2uo,John Legend,Made To Love,much,In __ more than you and me,30610,33130,2520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
z3zdIHDTbg0,Demi Lovato,Made In The Usa,touch,We __ down on the east coast,87870,89690,1820,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
QOowQeKyNkQ,Chris Brown,Don'T Wake Me Up,much,"Too __ light in this window,",18030,26280,8250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
QOowQeKyNkQ,Chris Brown,Don'T Wake Me Up,much,"So __ life in the city you won't believe,",96280,103490,7210,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,much,I won't ask for __ this Christmas,102440,105440,3000,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fUYaosyR4bE,Lily Allen,Not Fair,such,Its __ a shame,30040,31430,1390,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fUYaosyR4bE,Lily Allen,Not Fair,such,It's __ a shame,93160,94490,1330,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fUYaosyR4bE,Lily Allen,Not Fair,such,It's __ a shame,156420,157910,1490,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UJtB55MaoD0,Jessie J,Domino,touch,When we __ don't ever let me go,71900,75750,3850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UJtB55MaoD0,Jessie J,Domino,touch,When we __ don't ever let me go,155170,158860,3690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UJtB55MaoD0,Jessie J,Domino,touch,When we __ don't ever let me go,215760,219450,3690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
4JipHEz53sU,Nicki Minaj,Super Bass,coach,"He always in the air, but he never fly __",22050,23880,1830,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
4JipHEz53sU,Nicki Minaj,Super Bass,touch,"I can tell that you're in __ with your feminine side, uh!",97460,99730,2270,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
wyx6JDQCslE,Lmfao,Sexy And I Know It,beach,"When I'm at the __, I'm in a speedo trying to tan my cheeks",77010,80780,3770,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
TJAfLE39ZZ8,Amy Winehouse,Back To Black,much,I love you __,100180,104040,3860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KUmZp8pR1uc,Amy Winehouse,Rehab,teach,"'Cause there's nothing, there's nothing you can __ me",41150,47080,5930,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
LPgvNlrBfb0,Cher Lloyd,Want U Back,much,"Hey, boy you never had __ game",10190,14060,3870,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
4fndeDfaWCg,Backstreet Boys,I Want It That Way,reach,"Can't __ to your heart,",35240,40070,4830,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NOubzHCUt48,KeSHa,Die Young,touch,That magic that we got nobody can __ (for sure),63100,66620,3520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
B9rSBcoX9ak,Ciara,Body Party,touch,"You can keep your hands on me, __ me right there, rock my body",57700,64220,6520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
B9rSBcoX9ak,Ciara,Body Party,touch,"You can keep your hands on me, __ me right there, rock my body",143600,150200,6600,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
B9rSBcoX9ak,Ciara,Body Party,much,I'm having so __ fun with you,215220,222910,7690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,touch,Staring at her son that she just can't __,37590,42800,5210,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,much,But he doesn't realize he hurts her so __,48000,55350,7350,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,such,With __ an endurin' pain that it keeps them in the pourin' rain,191940,194820,2880,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_5Thn61Cczg,Tlc,No Scrubs,approach,And I know that he cannot __ me,53400,56020,2620,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KNZH-emehxA,Shania Twain,You'Re Still The One,touched,"And the first time you __ me, I felt love",11220,18750,7530,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WpYeekQkAdc,Black Eyed Peas,Where Is The Love?,preach,Can you practice what you __?,66690,69270,2580,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WpYeekQkAdc,Black Eyed Peas,Where Is The Love?,each,"Not respectin' __ other, deny thy brother",117150,119730,2580,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WpYeekQkAdc,Black Eyed Peas,Where Is The Love?,preach,Can you practice what you __,137900,140300,2400,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,such,"I really don't know why it's __ a big deal, though",56600,60930,4330,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,such,"I really don't know why it's __ a big deal, though",131730,135980,4250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
vKNcuTWzTVw,Marina And The Diamonds,How To Be A Heartbreaker,attached,"Rule number two, just don't get __ to",20280,25680,5400,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,rich,"""Mama always said """"get a __ boyfriend""",39170,42090,2920,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NL2VBU604Jw,Gavin Degraw,Best I Ever Had,Massachusetts,"Hey __, hey Minnesota",135100,138550,3450,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
